PaCMAP_X,PaCMAP_Y
1.9158437,-3.4655204
1.2344785,-2.9809277
6.610988,-3.7901456
4.001288,-2.6541452
6.2875004,4.2431874
9.79582,-2.0323002
10.57374,-1.6657373
1.2196201,-4.95613
1.300303,-3.6114755
2.9726672,-4.188506
-3.7185056,-5.9298015
-0.19269906,-5.9029274
5.9142356,-5.156235
-0.43207866,-3.650276
-1.8666883,-4.9313216
7.8805594,-2.8024642
10.695947,1.9673158
10.059393,-0.8055361
8.709949,0.85116595
6.623567,5.024654
10.637757,0.44837353
10.719191,-2.4723399
-1.1939855,-5.1560445
-2.200272,-6.651578
-1.0884825,-5.604534
5.9927454,-5.682148
4.4421654,-3.7401552
3.3005142,-3.7448778
5.2372317,-2.323955
7.0286255,-0.5032758
5.183501,-0.95745635
7.5262117,1.8777275
7.0978637,-1.8292317
6.5470743,-2.2259352
7.4598193,-3.5267572
7.763183,-3.3733234
8.337355,-1.2474885
10.059747,-2.472073
7.0849166,-4.9633865
6.182025,-5.093116
1.9951613,-6.468834
3.5048046,-5.1999297
8.952954,-3.5991917
10.033382,-2.562468
1.7497839,-5.822712
0.01731272,-6.1314926
2.3232856,-6.5720344
1.595248,-5.9808207
2.3409948,-7.537932
2.7226174,-6.7721024
4.2528305,-6.1812243
7.8465123,-4.8288746
6.9410787,-5.115922
4.9600625,-4.811177
4.6834292,-4.872695
4.4071665,-5.2161303
5.422388,-5.959739
4.2942863,-6.2396183
6.3696566,-5.6626678
1.3737208,-7.2677746
-0.77380776,-7.335603
-1.2838849,-6.3562365
-2.3655329,-7.1930857
-2.3319662,-7.055476
-0.9642255,-6.37177
3.870824,-5.8667994
4.331116,-5.6808586
3.9905722,-6.1571813
7.2468376,-5.011764
2.710066,-5.8633075
5.4376926,-4.317741
6.148689,-3.9231267
-0.96491414,-4.227461
6.9593396,-1.4303128
2.1853333,-7.3373175
7.7206106,-0.04522086
4.7326465,-0.41905725
1.2242477,0.45027792
